7,78,91,y
5,78,91,y
10,80,94,y
16,76,84,y
12,77,84,y
10,78,87,y
21,37,174,r
28,38,178,r
25,38,180,r
21,33,174,r
26,35,177,r
11,25,175,r
20,30,170,r
15,26,172,r
1,14,171,r
212,88,19,b
216,89,17,b
216,87,17,b
219,85,11,b
222,85,10,b
224,77,4,b
222,86,9,b
226,85,7,b
231,69,0,b
184,177,150,w
200,192,169,w
185,180,159,w
203,197,168,w
179,178,164,w
199,195,172,w
201,194,174,w
218,213,201,w
196,191,178,w
81,141,13,g
86,144,14,g
92,148,17,g
98,162,11,g
105,166,11,g
106,165,12,g
124,179,26,g
137,189,40,g
128,180,29,g
29,95,210,o
37,104,219,o
31,95,206,o
41,110,212,o
42,118,223,o
39,114,214,o
58,124,208,o
69,136,219,o
61,126,208,o
24,169,156,y
19,163,154,y
13,147,141,y
27,198,185,y
21,191,181,y
16,165,159,y
29,208,195,y
18,196,188,y
13,159,155,y
35,37,161,r
31,30,155,r
24,27,147,r
42,43,179,r
33,34,177,r
29,30,165,r
63,59,192,r
59,52,188,r
43,37,178,r
203,70,9,b
201,66,8,b
197,60,8,b
213,91,5,b
218,83,2,b
201,73,6,b
217,110,8,b
215,102,6,b
209,84,5,b
191,183,161,w
188,180,160,w
168,162,145,w
208,203,175,w
167,156,141,w
186,173,151,w
212,206,188,w
208,201,178,w
197,186,162,w
89,146,11,g
77,134,5,g
66,122,4,g
106,163,12,g
93,151,5,g
82,135,5,g
131,179,25,g
114,167,12,g
101,153,8,g
24,93,204,o
17,85,196,o
10,77,185,o
32,107,210,o
22,96,205,o
19,87,197,o
59,123,212,o
41,110,206,o
35,98,197,o
18,198,175,y
17,189,167,y
15,160,140,y
22,223,205,y
23,226,205,y
25,201,180,y
47,198,186,y
29,213,202,y
26,183,165,y
47,40,184,r
46,40,204,r
33,31,176,r
59,53,206,r
54,47,233,r
45,39,205,r
65,58,186,r
59,55,214,r
50,45,190,r
215,91,5,b
222,96,4,b
218,87,2,b
232,111,6,b
230,114,4,b
224,103,4,b
229,146,55,b
232,138,30,b
223,112,8,b
202,200,172,w
210,208,184,w
177,176,156,w
216,215,191,w
186,190,177,w
200,199,179,w
205,200,188,w
217,214,205,w
197,194,178,w
92,157,20,g
86,149,11,g
78,138,8,g
110,167,17,g
97,161,7,g
93,152,10,g
133,181,39,g
127,177,35,g
110,164,24,g
34,109,209,o
35,112,222,o
28,104,213,o
38,117,208,o
38,126,228,o
36,122,227,o
52,126,207,o
45,128,213,o
47,121,210,o
0,138,132,y
0,142,138,y
0,145,143,y
0,141,136,y
0,145,142,y
0,148,144,y
0,143,137,y
0,148,143,y
0,152,147,y
21,25,140,r
22,25,151,r
22,25,158,r
17,21,154,r
13,17,160,r
11,15,167,r
16,21,155,r
11,15,166,r
10,14,173,r
190,47,1,b
198,46,1,b
202,46,1,b
203,43,0,b
211,40,0,b
217,41,0,b
212,41,0,b
223,39,0,b
228,40,0,b
118,123,127,w
120,126,132,w
121,129,135,w
119,123,126,w
122,126,130,w
126,128,133,w
123,123,125,w
125,127,130,w
128,129,133,w
63,128,3,g
76,143,5,g
87,149,15,g
80,158,1,g
91,174,1,g
102,170,11,g
84,153,3,g
110,173,6,g
114,172,15,g
13,90,209,o
20,103,217,o
23,104,208,o
18,102,219,o
26,115,225,o
28,114,211,o
19,95,196,o
30,114,214,o
38,115,199,o
8,55,76,y
8,60,81,y
7,58,80,y
4,55,73,y
4,54,71,y
4,55,73,y
6,52,64,y
3,54,70,y
3,54,72,y
16,24,56,r
14,21,53,r
16,22,54,r
15,22,54,r
15,20,53,r
14,20,54,r
16,22,51,r
16,20,50,r
14,19,52,r
44,29,13,b
48,29,13,b
50,30,14,b
46,27,9,b
48,27,10,b
50,26,10,b
46,24,8,b
